epoch,loss_total,loss_ce,loss_kd,loss_feat,train_acc,val_loss,val_acc,val_f1,lr,seconds
1,12.006662254273786,1.096149215046493,10.89743858147212,0.26148959085236884,0.4564957186262775,1.4187517501592197,0.6285451197053407,0.4110464320739126,0.0009829629131445341,133.2
2,6.033209395358141,0.5531126568357146,5.470386152800446,0.19421169761218107,0.7055980112328515,0.8968770455040764,0.7462246777163904,0.6074196278538911,0.0009330127018922195,131.7
3,4.115766852174869,0.35153019236037664,3.7556786587440047,0.17116012525963484,0.8044839333394715,0.6800767171887843,0.8173112338858195,0.7186033097349952,0.0008535533905932737,131.8
4,3.223463392183054,0.25716887640147434,2.9583806612908474,0.15827696972454838,0.8539959488076604,0.5014204341403687,0.8532228360957643,0.7617726465862487,0.00075,131.8
5,2.6898474939158583,0.19984319601398334,2.4825681442604597,0.14872317657117498,0.8831138937482736,0.4568013418445271,0.8710865561694291,0.8095601168202042,0.0006294095225512604,132.3
6,2.365713657413922,0.16680743972599457,2.1918045148348106,0.14203409335553102,0.9016665132124114,0.38841354265177885,0.887292817679558,0.8256259773744314,0.0005,132.0
7,2.120599789597933,0.1380262013372823,1.9757606364582885,0.13625900881877206,0.9165362305496731,0.3190471542364546,0.9014732965009208,0.8483094499860521,0.0003705904774487397,132.1
8,1.9757108386297624,0.122198421258029,1.8468853590973788,0.1325411366671118,0.9238790166651322,0.2878035823888322,0.9106813996316758,0.8641211339037715,0.0002500000000000001,131.6
9,1.8615763009818327,0.11315277391894946,1.7419817447442836,0.12883565023002258,0.9308995488444894,0.2555070907536133,0.9233885819521178,0.8833963174406216,0.00014644660940672628,131.7
10,1.780510599623507,0.10368115903003453,1.6705075076640328,0.12643865553475075,0.9364929564496823,0.24722434775715155,0.9261510128913444,0.8909248442463212,6.698729810778065e-05,131.8
11,1.7492019915249277,0.10038327908881016,1.6425814375606496,0.1247455170992911,0.9365850290028542,0.22783051429532508,0.9314917127071823,0.8927916523322396,1.70370868554659e-05,131.9
12,1.7230467992135805,0.09699721966271857,1.6198642500175011,0.12370661414261737,0.9378740447472609,0.24202280464971482,0.9246777163904236,0.8851621995919574,0.0,132.1
