epoch,loss_total,loss_ce,loss_kd,loss_feat,train_acc,val_loss,val_acc,val_f1,lr,seconds
1,14.634513725464807,1.1914462881867107,13.427262774489332,0.316093641756626,0.41430347113525456,2.3672853621769128,0.5162062615101289,0.300647573311797,0.0009829629131445341,57.7
2,8.052896950084875,0.635777952816811,7.404751331017454,0.24735333250873096,0.6726130190590185,1.0833344193014212,0.7090239410681399,0.5147045203651848,0.0009330127018922195,51.7
3,5.428692350992565,0.3852519276458007,5.032332429656687,0.22215973850294718,0.7894761071724519,0.9470777543210193,0.7668508287292818,0.6461947903857309,0.0008535533905932737,52.5
4,4.098557726387029,0.26614499322596025,3.8220593452058482,0.20706777909290242,0.850727373170058,0.6653664497161219,0.8337016574585635,0.7268493635736133,0.00075,52.3
5,3.369920688048218,0.20820655599586346,3.151899780536508,0.19628699223877327,0.8823312770463125,0.48721604724834855,0.8720073664825047,0.8003918130054042,0.0006294095225512604,52.5
6,2.93966392873236,0.17102115626065575,2.7591677359175413,0.18950069278283801,0.9011370960316729,0.5891697798205564,0.8460405156537754,0.7730970000372995,0.0005,52.1
7,2.634292327351206,0.14407784414740296,2.4810109161977203,0.18407130204899164,0.9168354663474818,0.38481966610551976,0.8904235727440147,0.8351362266011391,0.0003705904774487397,52.1
8,2.4511681875134577,0.12997555817515907,2.3121999569464298,0.17985353320247066,0.9233495994843937,0.35264767320555657,0.9001841620626151,0.8472851236254482,0.0002500000000000001,52.9
9,2.294439433962477,0.11585643875857939,2.1697644687974313,0.17637046375290902,0.9301399502808213,0.32202542996099204,0.9038674033149171,0.8578014427337939,0.00014644660940672628,52.8
10,2.198245646512132,0.10702011353726348,2.0825636644585557,0.17323734697227858,0.9361476843752877,0.3044439359044941,0.9121546961325967,0.8628931443247048,6.698729810778065e-05,52.6
11,2.1609168266264427,0.1045475989503323,2.047758330276752,0.17221797313707526,0.9380581898536047,0.29324288304558993,0.9106813996316758,0.862880879058111,1.70370868554659e-05,52.3
12,2.137669867896735,0.10197584117142691,2.027141487551223,0.17105088115215916,0.9381732805450695,0.29786281298098205,0.9125230202578268,0.8646678736225903,0.0,51.5
