epoch,phase,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,val_top3,lr,seconds
1,freeze,0.7876262752684471,0.8211720836018783,0.7745296603139259,0.36304628865494915,0.9058931860036833,0.8764640998917723,0.9773480662983426,0.0,78.5
2,finetune,0.13823170598705065,0.9553448117116288,0.9400884001822091,0.17022837178702732,0.9403314917127071,0.9311060356962917,0.9937384898710866,0.0002799038105676658,78.2
3,finetune,0.0578993331387484,0.9811711628763465,0.9746801221737562,0.10305682343343345,0.9644567219152854,0.9557415467302921,0.9955801104972376,0.000225,71.4
4,finetune,0.0396912487494026,0.9869256974495902,0.981995213247567,0.054317894735773184,0.9802946593001841,0.974768549766291,0.9988950276243094,0.00015,71.7
5,finetune,0.021787922576600793,0.9927262682994199,0.9895331773952599,0.036705445663910874,0.9871086556169429,0.9817055167872454,0.9998158379373849,7.500000000000002e-05,71.4
6,finetune,0.008957346731321123,0.9975140410643587,0.9964791698492259,0.027641856238335153,0.9913443830570903,0.9869233066276604,0.9998158379373849,2.009618943233419e-05,69.1
7,finetune,0.0052878571312022895,0.9985728754258355,0.9976622810717675,0.02133112022049492,0.992633517495396,0.9882285310895336,1.0,0.0,61.7
